y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
1931	273244	3853427	3853429	OK		415888201685013631012497351864183859183815	415888357390510418779767780039430468643410	600000000000000000000000000000000000000000	2395241368805147876326392799208892085907414396851933202846873233731356600000000000000000000000000000000000000000	10665095355463784192101072208166148508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1933	275247	3884063	3884071	OK		415888201490458430216664374782174334433937	415888355967571792995935280637007372391835	600000000000000000000000000000000000000000	2325761943718046680066508858962233150360539396851933202846873233731356600000000000000000000000000000000000000000	10684550875543367489809273160641136308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1949	277264	3914549	3914569	OK		415888246923890474559295572210500375386900	415888400197488559925649721029230909587545	600000000000000000000000000000000000000000	4485425848353286642976285398864367427704289396851933202846873233731356600000000000000000000000000000000000000000	6141207671109104370066440556545840008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1951	279280	3944821	3944827	OK		415888278521992424929410381300599165938928	415888430619936138136846253907896310576180	600000000000000000000000000000000000000000	5970896921508130223683251482897015621063664396851933202846873233731356600000000000000000000000000000000000000000	2981397476072092889157430677490637208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1973	281309	3976043	3976061	OK		415888206822250414337445348401662111224735	415888357725386562296034045549418506759295	600000000000000000000000000000000000000000	2411592743000278065071997683882519283173039396851933202846873233731356600000000000000000000000000000000000000000	10151371677131289392447324382962056508061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1979	283332	4007321	4007351	OK		415888258115430712411752895764703237272542	415888407840292306622851059213018077539105	600000000000000000000000000000000000000000	4858609625047485927067290631674502193329289396851933202846873233731356600000000000000000000000000000000000000000	5022053647323858637711020270357275808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1987	285364	4037821	4037827	OK		415888233519394319616113477176621789977222	415888382114188816154635901946663797333280	600000000000000000000000000000000000000000	3602452228051967608841394426586327144501164396851933202846873233731356600000000000000000000000000000000000000000	7481657286603422579569828415086807808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1993	287403	4068707	4068731	OK		415888187128263373484220642069894325559054	415888334594407663005278246053244817474085	600000000000000000000000000000000000000000	1282150413933346629549723577960389888641789396851933202846873233731356600000000000000000000000000000000000000000	12120770381216611863080501161528624608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1997	289452	4099591	4099597	OK		415888221604625716495415794401795411846332	415888367960492445375664167429223388786345	600000000000000000000000000000000000000000	2911353772447525629616910031637746333954289396851933202846873233731356600000000000000000000000000000000000000000	8673134146915492347847311052899896808061615315247240800569603617318181682600000000000000000000000000000000000000000	-
1999	291512	4131623	4131637	OK		415888166901744301244286260872956995911613	415888312122651078495413172735734760342495	600000000000000000000000000000000000000000	184896674455325874016642032202011470673039396851933202846873233731356600000000000000000000000000000000000000000	14143422288440605301200194894493368708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
