y	m	p_m1	p_m	STATUS	NOTE	UPm1_num	LOm_num	DEN	gap_lo_num	gap_hi_num	gap_DEN
313	10254	108463	108497	OK		415883342783155719884273920318891161909338	415888872914956613345736016127132513981780	600000000000000000000000000000000000000000	27567333468149189294104112625641429683563664396851933202846873233731356600000000000000000000000000000000000000000	496555281146576606535255601477893596208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
317	10607	112589	112601	OK		415885290228040549836699210660846723214230	415890618800714939766845694987459539198685	600000000000000000000000000000000000000000	112815661511431470040142214531169598873016789396851933202846873233731356600000000000000000000000000000000000000000	301810792663581364006221405921763107008061615315247240800569603617318181682600000000000000000000000000000000000000000	-
331	10969	116903	116911	OK		415887904907986262630512385660027495540858	415893037038546495979334990319357207597805	600000000000000000000000000000000000000000	230893680630387157994015842347009399654266789396851933202846873233731356600000000000000000000000000000000000000000	40342798092301982688721487844530444208061615315247240800569603617318181682600000000000000000000000000000000000000000	-
337	11328	121021	121039	OK		415887992176678138619824838253479141118027	415892949276706665440052123899221726666155	600000000000000000000000000000000000000000	226608434544911607072803921669229533931610539396851933202846873233731356600000000000000000000000000000000000000000	31615928904703051443462142679972727308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
347	11693	125299	125303	OK		415888116649627166242141351117225739581154	415892905061299843919312018600079424357010	600000000000000000000000000000000000000000	224449479133704539684849861986499595210907414396851933202846873233731356600000000000000000000000000000000000000000	19168634001940819792175768020126414608061615315247240800569603617318181682600000000000000000000000000000000000000000	-
349	12059	129553	129581	OK		415884087799719511031588026555665062471061	415888718125695776732074968457307375797855	600000000000000000000000000000000000000000	20009264091361412875760859445066042720673039396851933202846873233731356600000000000000000000000000000000000000000	422053624767461875124631924087837423908061615315247240800569603617318181682600000000000000000000000000000000000000000	-
353	12437	134093	134129	OK		415887189440352816052370003042412858794147	415891662762254926829350977107825332876425	600000000000000000000000000000000000000000	163790346081112256430870748017189019771454289396851933202846873233731356600000000000000000000000000000000000000000	111889561436959796926983249308205115308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
359	12823	138577	138581	OK		415887966559148372244113444534905686262657	415892296172321860952531689709573720091125	600000000000000000000000000000000000000000	194718572005629989864103255262658487544891789396851933202846873233731356600000000000000000000000000000000000000000	34177681881340622582834000025458264308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
367	13215	143291	143329	OK		415887621049662667263553744914105680022866	415891807237056573817035813217447753817140	600000000000000000000000000000000000000000	170844779755281576979508913174461515621063664396851933202846873233731356600000000000000000000000000000000000000000	68728630451838678552796080026082243408061615315247240800569603617318181682600000000000000000000000000000000000000000	-
373	13611	148139	148147	OK		415885258377233719816857318942059131660733	415889308422028877196638147180126390825100	600000000000000000000000000000000000000000	48832327231032534124721934592284169917938664396851933202846873233731356600000000000000000000000000000000000000000	304995873346583348195393284680918456708061615315247240800569603617318181682600000000000000000000000000000000000000000	-
379	14014	152767	152777	OK		415885979215209165798014951996503916809967	415889906520538243827599639051954412455690	600000000000000000000000000000000000000000	78036356008700061541317238694902851070282414396851933202846873233731356600000000000000000000000000000000000000000	232912075801985232432087840202403533308061615315247240800569603617318181682600000000000000000000000000000000000000000	-
