[sieve] sieving primes up to 950000000 ...
y	m	p_m1	p_m	STATUS	gap_log
1741	229107	3187787	3187813	OK	1.414708e-07
1747	230945	3214703	3214711	OK	6.535304e-08
1753	232793	3242159	3242191	OK	2.159137e-07
1759	234650	3270101	3270121	OK	2.042325e-07
1777	236516	3298049	3298091	OK	3.662168e-08
1783	238380	3326173	3326177	OK	1.842713e-07
1787	240253	3354649	3354667	OK	1.790214e-07
1789	242138	3383203	3383207	OK	2.245326e-07
1801	244036	3411313	3411329	OK	7.149094e-08
1811	245938	3439651	3439663	OK	1.911244e-07
1823	247845	3468679	3468701	OK	2.452632e-07
1831	249755	3498373	3498377	OK	1.215269e-07
1847	251673	3527833	3527851	OK	9.005538e-08
1861	253591	3556939	3556951	OK	2.502225e-07
1867	255509	3586057	3586073	OK	8.191233e-08
1871	257437	3614363	3614407	OK	9.990104e-08
1873	259376	3643621	3643631	OK	8.129900e-08
1877	261329	3673457	3673463	OK	9.325968e-08
1879	263294	3702697	3702757	OK	2.522317e-07
1889	265272	3732167	3732173	OK	2.305028e-07
1901	267255	3762821	3762833	OK	1.427233e-07
1907	269242	3793019	3793021	OK	1.728057e-07
1913	271238	3822823	3822851	OK	5.092861e-08
1931	273244	3853427	3853429	OK	8.175772e-08
1933	275247	3884063	3884071	OK	7.938615e-08
1949	277264	3914549	3914569	OK	1.531027e-07
1951	279280	3944821	3944827	OK	2.038068e-07
1973	281309	3976043	3976061	OK	8.231585e-08
1979	283332	4007321	4007351	OK	1.658407e-07
1987	285364	4037821	4037827	OK	1.229638e-07
1993	287403	4068707	4068731	OK	4.376420e-08
1997	289452	4099591	4099597	OK	9.937434e-08
1999	291512	4131623	4131637	OK	6.311266e-09
2003	293587	4162973	4162993	OK	1.651987e-07
2011	295673	4194719	4194739	OK	1.970632e-07
2017	297766	4226479	4226501	OK	1.184128e-07
2027	299869	4258909	4258937	OK	1.006525e-07
2029	301978	4291717	4291747	OK	1.830106e-07
2039	304100	4324297	4324303	OK	2.521433e-08
2053	306229	4356977	4356983	OK	1.938045e-07
2063	308358	4389559	4389571	OK	2.928151e-08
2069	310494	4422211	4422221	OK	1.927904e-07
2081	312638	4454293	4454299	OK	5.308093e-08
2083	314786	4486819	4486829	OK	8.468547e-08
2087	316948	4520273	4520279	OK	1.840879e-07
2089	319121	4553929	4553933	OK	5.473884e-08
2099	321309	4587389	4587391	OK	1.665563e-07
2111	323502	4620871	4620877	OK	1.579025e-07
2113	325698	4654963	4655009	OK	3.939491e-08
2129	327909	4688377	4688393	OK	1.259318e-07
2131	330119	4722491	4722493	OK	1.746277e-07
2137	332342	4757009	4757033	OK	3.298687e-08
2141	334576	4791737	4791767	OK	1.177743e-07
2143	336822	4826207	4826231	OK	1.999200e-07
2153	339081	4860853	4860859	OK	5.676423e-08
2161	341347	4895263	4895279	OK	2.030308e-07
2179	343619	4930171	4930181	OK	3.500637e-08
2203	345889	4964891	4964893	OK	1.499033e-08
2207	348150	4999523	4999529	OK	1.142256e-08
2213	350423	5034787	5034797	OK	4.772611e-08
2221	352706	5070209	5070217	OK	1.215711e-07
2237	354996	5105707	5105753	OK	6.461073e-08
2239	357286	5140871	5140873	OK	1.053902e-07
2243	359590	5176763	5176799	OK	1.840328e-07
2251	361905	5212787	5212793	OK	7.860275e-08
2267	364228	5248273	5248283	OK	4.741784e-08
2269	366551	5284417	5284423	OK	1.456535e-07
2273	368887	5320501	5320583	OK	7.225432e-08
2281	371235	5356789	5356817	OK	2.674845e-08
2287	373591	5393173	5393177	OK	3.239491e-08
2293	375957	5430071	5430077	OK	6.270314e-08
2297	378333	5466689	5466691	OK	1.261187e-07
2309	380720	5504017	5504033	OK	4.433672e-09
2311	383112	5541449	5541461	OK	1.082025e-07
2333	385518	5579459	5579461	OK	1.742219e-07
2339	387916	5616601	5616629	OK	1.101183e-09
2341	390325	5654521	5654531	OK	1.921807e-08
2347	392748	5692249	5692279	OK	7.099864e-09
2351	395181	5729821	5729827	OK	3.998467e-08
2357	397626	5768197	5768207	OK	6.944054e-08
2371	400081	5806687	5806727	OK	6.865097e-08
2377	402538	5845339	5845349	OK	1.205671e-07
2381	405004	5883431	5883439	OK	4.504446e-09
2383	407483	5921353	5921359	OK	8.721233e-08
2389	409975	5960323	5960329	OK	7.100566e-09
2393	412478	5999729	5999731	OK	6.293461e-08
2399	414993	6039037	6039067	OK	9.408062e-08
2411	417518	6078473	6078481	OK	8.572520e-08
2417	420047	6117863	6117883	OK	1.040633e-07
2423	422586	6157663	6157673	OK	1.067490e-07
2437	425135	6197801	6197813	OK	8.936027e-08
2441	427686	6237817	6237877	OK	1.030788e-07
2447	430249	6277783	6277787	OK	7.718381e-08
2459	432822	6317401	6317407	OK	6.954316e-08
2467	435399	6357811	6357839	OK	1.036487e-07
2473	437984	6399013	6399023	OK	9.218567e-08
2477	440579	6440179	6440191	OK	3.512312e-08
2503	443187	6481183	6481187	OK	7.587796e-08
