Pivot-only table (Appendix A)
mreq_mode=exact  (prec=120, ln1p_terms=18, ln2_terms=40)
y in [3,30000], prime_limit=5000000
+-------+------------------+---------+
| y     | mreq_status      | mreq(y) |
| 3511  | FAIL_PRIME_LIMIT | -       |
| 3517  | FAIL_PRIME_LIMIT | -       |
| 3527  | FAIL_PRIME_LIMIT | -       |
| 3529  | FAIL_PRIME_LIMIT | -       |
| 3533  | FAIL_PRIME_LIMIT | -       |
| 3539  | FAIL_PRIME_LIMIT | -       |
| 3541  | FAIL_PRIME_LIMIT | -       |
| 3547  | FAIL_PRIME_LIMIT | -       |
| 3557  | FAIL_PRIME_LIMIT | -       |
| 3559  | FAIL_PRIME_LIMIT | -       |
| 3571  | FAIL_PRIME_LIMIT | -       |
| 3581  | FAIL_PRIME_LIMIT | -       |
| 3583  | FAIL_PRIME_LIMIT | -       |
| 3593  | FAIL_PRIME_LIMIT | -       |
| 3607  | FAIL_PRIME_LIMIT | -       |
| 3613  | FAIL_PRIME_LIMIT | -       |
| 3617  | FAIL_PRIME_LIMIT | -       |
| 3623  | FAIL_PRIME_LIMIT | -       |
| 3631  | FAIL_PRIME_LIMIT | -       |
| 3637  | FAIL_PRIME_LIMIT | -       |
| 3643  | FAIL_PRIME_LIMIT | -       |
| 3659  | FAIL_PRIME_LIMIT | -       |
| 3671  | FAIL_PRIME_LIMIT | -       |
| 3673  | FAIL_PRIME_LIMIT | -       |
| 3677  | FAIL_PRIME_LIMIT | -       |
| 3691  | FAIL_PRIME_LIMIT | -       |
| 3697  | FAIL_PRIME_LIMIT | -       |
| 3701  | FAIL_PRIME_LIMIT | -       |
| 3709  | FAIL_PRIME_LIMIT | -       |
| 3719  | FAIL_PRIME_LIMIT | -       |
| 3727  | FAIL_PRIME_LIMIT | -       |
| 3733  | FAIL_PRIME_LIMIT | -       |
| 3739  | FAIL_PRIME_LIMIT | -       |
| 3761  | FAIL_PRIME_LIMIT | -       |
| 3767  | FAIL_PRIME_LIMIT | -       |
| 3769  | FAIL_PRIME_LIMIT | -       |
| 3779  | FAIL_PRIME_LIMIT | -       |
| 3793  | FAIL_PRIME_LIMIT | -       |
| 3797  | FAIL_PRIME_LIMIT | -       |
| 3803  | FAIL_PRIME_LIMIT | -       |
| 3821  | FAIL_PRIME_LIMIT | -       |
| 3823  | FAIL_PRIME_LIMIT | -       |
| 3833  | FAIL_PRIME_LIMIT | -       |
| 3847  | FAIL_PRIME_LIMIT | -       |
| 3851  | FAIL_PRIME_LIMIT | -       |
| 3853  | FAIL_PRIME_LIMIT | -       |
| 3863  | FAIL_PRIME_LIMIT | -       |
| 3877  | FAIL_PRIME_LIMIT | -       |
| 3881  | FAIL_PRIME_LIMIT | -       |
| 3889  | FAIL_PRIME_LIMIT | -       |
| 3907  | FAIL_PRIME_LIMIT | -       |
| 3911  | FAIL_PRIME_LIMIT | -       |
| 3917  | FAIL_PRIME_LIMIT | -       |
| 3919  | FAIL_PRIME_LIMIT | -       |
| 3923  | FAIL_PRIME_LIMIT | -       |
| 3929  | FAIL_PRIME_LIMIT | -       |
| 3931  | FAIL_PRIME_LIMIT | -       |
| 3943  | FAIL_PRIME_LIMIT | -       |
| 3947  | FAIL_PRIME_LIMIT | -       |
| 3967  | FAIL_PRIME_LIMIT | -       |
| 3989  | FAIL_PRIME_LIMIT | -       |
| 4001  | FAIL_PRIME_LIMIT | -       |
| 4003  | FAIL_PRIME_LIMIT | -       |
| 4007  | FAIL_PRIME_LIMIT | -       |
| 4013  | FAIL_PRIME_LIMIT | -       |
| 4019  | FAIL_PRIME_LIMIT | -       |
| 4021  | FAIL_PRIME_LIMIT | -       |
| 4027  | FAIL_PRIME_LIMIT | -       |
| 4049  | FAIL_PRIME_LIMIT | -       |
| 4051  | FAIL_PRIME_LIMIT | -       |
| 4057  | FAIL_PRIME_LIMIT | -       |
| 4073  | FAIL_PRIME_LIMIT | -       |
| 4079  | FAIL_PRIME_LIMIT | -       |
| 4091  | FAIL_PRIME_LIMIT | -       |
| 4093  | FAIL_PRIME_LIMIT | -       |
| 4099  | FAIL_PRIME_LIMIT | -       |
| 4111  | FAIL_PRIME_LIMIT | -       |
| 4127  | FAIL_PRIME_LIMIT | -       |
| 4129  | FAIL_PRIME_LIMIT | -       |
| 4133  | FAIL_PRIME_LIMIT | -       |
| 4139  | FAIL_PRIME_LIMIT | -       |
| 4153  | FAIL_PRIME_LIMIT | -       |
| 4157  | FAIL_PRIME_LIMIT | -       |
| 4159  | FAIL_PRIME_LIMIT | -       |
| 4177  | FAIL_PRIME_LIMIT | -       |
| 4201  | FAIL_PRIME_LIMIT | -       |
| 4211  | FAIL_PRIME_LIMIT | -       |
| 4217  | FAIL_PRIME_LIMIT | -       |
| 4219  | FAIL_PRIME_LIMIT | -       |
| 4229  | FAIL_PRIME_LIMIT | -       |
| 4231  | FAIL_PRIME_LIMIT | -       |
| 4241  | FAIL_PRIME_LIMIT | -       |
| 4243  | FAIL_PRIME_LIMIT | -       |
| 4253  | FAIL_PRIME_LIMIT | -       |
| 4259  | FAIL_PRIME_LIMIT | -       |
| 4261  | FAIL_PRIME_LIMIT | -       |
| 4271  | FAIL_PRIME_LIMIT | -       |
| 4273  | FAIL_PRIME_LIMIT | -       |
| 4283  | FAIL_PRIME_LIMIT | -       |
| 4289  | FAIL_PRIME_LIMIT | -       |
| 4297  | FAIL_PRIME_LIMIT | -       |
| 4327  | FAIL_PRIME_LIMIT | -       |
| 4337  | FAIL_PRIME_LIMIT | -       |
| 4339  | FAIL_PRIME_LIMIT | -       |
