y,M_cert,first_prime,last_prime,num_bits,den_bits,status
9473,21242,9473,254773,309075,309075,PASS
9497,21265,9497,255023,309451,309450,PASS
9533,21301,9533,255473,310036,310035,PASS
9551,21319,9551,255713,310397,310396,PASS
9613,21379,9613,256499,311283,311282,PASS
9629,21395,9629,256771,311545,311545,PASS
9649,21414,9649,257107,311875,311875,PASS
9679,21444,9679,257497,312436,312435,PASS
9719,21482,9719,258061,312999,312998,PASS
9739,21502,9739,258329,313382,313381,PASS
9767,21529,9767,258637,313794,313794,PASS
9787,21548,9787,258919,314141,314140,PASS
9811,21572,9811,259271,314561,314561,PASS
9833,21593,9833,259619,314901,314901,PASS
9857,21615,9857,259907,315290,315289,PASS
9883,21641,9883,260317,315737,315736,PASS
9907,21664,9907,260629,316112,316111,PASS
9931,21686,9931,260959,316498,316498,PASS
9967,21721,9967,261451,317106,317106,PASS
10009,21761,10009,262051,317833,317833,PASS
10061,21810,10061,262657,318615,318614,PASS
10079,21828,10079,262949,318897,318896,PASS
10099,21847,10099,263227,319261,319260,PASS
10133,21878,10133,263611,319761,319761,PASS
10151,21896,10151,263899,320073,320073,PASS
10169,21913,10169,264113,320389,320388,PASS
10193,21935,10193,264443,320763,320762,PASS
10243,21982,10243,265091,321536,321535,PASS
10259,21997,10259,265273,321812,321812,PASS
10273,22010,10273,265493,322068,322067,PASS
10303,22038,10303,265871,322517,322517,PASS
10331,22064,10331,266183,322948,322948,PASS
10343,22075,10343,266381,323185,323185,PASS
10391,22120,10391,266977,323897,323897,PASS
10429,22156,10429,267439,324438,324437,PASS
10457,22181,10457,267671,324912,324912,PASS
10477,22199,10477,267887,325214,325214,PASS
10501,22222,10501,268253,325541,325541,PASS
10531,22249,10531,268747,325954,325953,PASS
10589,22303,10589,269341,326854,326854,PASS
10607,22319,10607,269561,327197,327197,PASS
10631,22341,10631,269923,327584,327584,PASS
10657,22365,10657,270241,328009,328009,PASS
10687,22392,10687,270587,328456,328456,PASS
10711,22414,10711,270913,328842,328841,PASS
10733,22434,10733,271181,329174,329174,PASS
10771,22469,10771,271693,329754,329754,PASS
10799,22494,10799,272029,330194,330194,PASS
10847,22538,10847,272563,330903,330903,PASS
10861,22550,10861,272777,331128,331128,PASS
10889,22575,10889,273113,331521,331521,PASS
10909,22593,10909,273433,331886,331886,PASS
10949,22629,10949,273997,332492,332492,PASS
10979,22656,10979,274349,332975,332974,PASS
11003,22677,11003,274711,333328,333328,PASS
11057,22726,11057,275323,334050,334050,PASS
11071,22738,11071,275491,334258,334257,PASS
11093,22757,11093,275741,334560,334559,PASS
11119,22781,11119,276047,334985,334984,PASS
11159,22816,11159,276517,335575,335575,PASS
11173,22828,11173,276721,335829,335829,PASS
11213,22864,11213,277217,336454,336453,PASS
11251,22897,11251,277687,337040,337039,PASS
11273,22917,11273,278017,337372,337372,PASS
11299,22939,11299,278329,337793,337792,PASS
11321,22958,11321,278609,338162,338161,PASS
11353,22987,11353,278947,338627,338627,PASS
11393,23021,11393,279523,339149,339148,PASS
11423,23048,11423,279883,339645,339645,PASS
11447,23068,11447,280199,340012,340012,PASS
11483,23100,11483,280607,340581,340580,PASS
11497,23112,11497,280771,340820,340819,PASS
11527,23138,11527,281131,341253,341252,PASS
11579,23183,11579,281683,341930,341929,PASS
11597,23198,11597,281867,342206,342206,PASS
11633,23230,11633,282307,342780,342779,PASS
11681,23271,11681,282881,343453,343452,PASS
11701,23288,11701,283117,343767,343767,PASS
11731,23313,11731,283571,344196,344196,PASS
11779,23355,11779,284131,344949,344948,PASS
11801,23373,11801,284377,345283,345282,PASS
11821,23391,11821,284593,345564,345564,PASS
11833,23401,11833,284737,345784,345784,PASS
11867,23429,11867,285101,346269,346268,PASS
11903,23460,11903,285557,346762,346762,PASS
11927,23480,11927,285781,347115,347115,PASS
11941,23492,11941,286019,347387,347387,PASS
11969,23516,11969,286469,347846,347845,PASS
11987,23531,11987,286651,348122,348121,PASS
12037,23574,12037,287257,348860,348860,PASS
12049,23583,12049,287387,349063,349063,PASS
12097,23624,12097,288109,349701,349700,PASS
12109,23634,12109,288293,349920,349920,PASS
12143,23662,12143,288683,350432,350432,PASS
12161,23677,12161,288929,350714,350713,PASS
12203,23712,12203,289291,351278,351277,PASS
12239,23743,12239,289741,351748,351747,PASS
12253,23754,12253,289937,352002,352001,PASS
12277,23774,12277,290183,352294,352294,PASS
12301,23793,12301,290471,352597,352596,PASS
12343,23828,12343,290897,353211,353211,PASS
12377,23857,12377,291299,353684,353684,PASS
12401,23876,12401,291563,354016,354016,PASS
12421,23893,12421,291857,354347,354347,PASS
12451,23918,12451,292241,354745,354745,PASS
12479,23941,12479,292561,355140,355140,PASS
12497,23955,12497,292759,355435,355435,PASS
12517,23972,12517,293081,355753,355753,PASS
12541,23991,12541,293339,356057,356057,PASS
12569,24014,12569,293723,356465,356465,PASS
12589,24031,12589,294023,356769,356768,PASS
12613,24050,12613,294269,357058,357058,PASS
12641,24073,12641,294563,357502,357502,PASS
12659,24088,12659,294809,357765,357765,PASS
12697,24118,12697,295237,358348,358348,PASS
12721,24138,12721,295553,358704,358704,PASS
12757,24167,12757,295951,359207,359206,PASS
12791,24194,12791,296353,359668,359667,PASS
12821,24219,12821,296693,360128,360127,PASS
12841,24235,12841,296911,360458,360458,PASS
12893,24277,12893,297523,361260,361260,PASS
12911,24291,12911,297757,361488,361488,PASS
12923,24301,12923,297911,361681,361681,PASS
12959,24330,12959,298327,362167,362166,PASS
12979,24346,12979,298607,362463,362463,PASS
13003,24364,13003,298847,362763,362763,PASS
13033,24389,13033,299281,363192,363192,PASS
13049,24401,13049,299447,363451,363450,PASS
13099,24442,13099,300017,364067,364067,PASS
13121,24459,13121,300299,364354,364353,PASS
13151,24482,13151,300593,364737,364737,PASS
13171,24499,13171,300799,365037,365037,PASS
13187,24511,13187,300973,365263,365262,PASS
13229,24545,13229,301447,365801,365801,PASS
13259,24568,13259,301753,366209,366208,PASS
13297,24598,13297,302213,366687,366686,PASS
13327,24621,13327,302587,367064,367064,PASS
13339,24631,13339,302779,367209,367209,PASS
13397,24676,13397,303313,367953,367953,PASS
13417,24692,13417,303529,368299,368299,PASS
13451,24719,13451,303859,368747,368746,PASS
13469,24733,13469,304067,369008,369008,PASS
13499,24756,13499,304411,369402,369401,PASS
13537,24786,13537,304771,369908,369907,PASS
13577,24817,13577,305131,370478,370478,PASS
13613,24844,13613,305489,370977,370977,PASS
13633,24860,13633,305749,371277,371277,PASS
13679,24896,13679,306259,371895,371895,PASS
13691,24905,13691,306419,372068,372068,PASS
13709,24918,13709,306577,372327,372327,PASS
13723,24930,13723,306809,372570,372569,PASS
13757,24956,13757,307129,373018,373017,PASS
13781,24974,13781,307367,373326,373325,PASS
13807,24994,13807,307669,373701,373700,PASS
13841,25020,13841,308129,374115,374115,PASS
13877,25048,13877,308521,374605,374605,PASS
13901,25066,13901,308827,374914,374914,PASS
13913,25075,13913,308989,375117,375117,PASS
13933,25091,13933,309173,375464,375463,PASS
13997,25139,13997,309811,376235,376235,PASS
14011,25150,14011,310027,376442,376442,PASS
14051,25180,14051,310463,376994,376993,PASS
14081,25203,14081,310781,377439,377439,PASS
14107,25222,14107,311041,377825,377825,PASS
14153,25258,14153,311609,378424,378424,PASS
14177,25275,14177,311881,378773,378773,PASS
14221,25309,14221,312331,379367,379367,PASS
14251,25331,14251,312623,379793,379793,PASS
14303,25370,14303,313153,380416,380415,PASS
14327,25388,14327,313399,380737,380737,PASS
14369,25420,14369,313853,381360,381360,PASS
14401,25443,14401,314129,381786,381786,PASS
14419,25456,14419,314299,382027,382027,PASS
14437,25470,14437,314543,382290,382289,PASS
14461,25488,14461,314779,382627,382627,PASS
14503,25520,14503,315313,383203,383203,PASS
14537,25544,14537,315613,383634,383634,PASS
14551,25554,14551,315779,383810,383809,PASS
14563,25563,14563,315949,384011,384011,PASS
14621,25606,14621,316501,384742,384742,PASS
14633,25615,14633,316663,384930,384930,PASS
14657,25633,14657,316891,385234,385233,PASS
14699,25664,14699,317327,385761,385760,PASS
14723,25682,14723,317591,386066,386065,PASS
14741,25695,14741,317743,386311,386311,PASS
14759,25708,14759,317959,386558,386558,PASS
14779,25722,14779,318181,386804,386804,PASS
14813,25748,14813,318473,387269,387268,PASS
14831,25760,14831,318683,387465,387465,PASS
14867,25787,14867,319049,387919,387918,PASS
14887,25802,14887,319259,388168,388167,PASS
14923,25827,14923,319567,388554,388554,PASS
14947,25845,14947,319819,388860,388860,PASS
14969,25861,14969,320041,389148,389148,PASS
15017,25896,15017,320483,389763,389763,PASS
15061,25927,15061,320939,390274,390273,PASS
15083,25944,15083,321221,390579,390578,PASS
15107,25961,15107,321427,390899,390898,PASS
15137,25982,15137,321751,391338,391337,PASS
15161,26000,15161,322013,391706,391706,PASS
15193,26023,15193,322339,392080,392080,PASS
15227,26048,15227,322649,392527,392526,PASS
15259,26070,15259,323003,392901,392901,PASS
15271,26079,15271,323149,393059,393058,PASS
15289,26092,15289,323383,393292,393291,PASS
15313,26109,15313,323647,393580,393579,PASS
15331,26122,15331,323903,393810,393809,PASS
15361,26144,15361,324217,394187,394186,PASS
15383,26159,15383,324439,394482,394481,PASS
15413,26180,15413,324707,394828,394828,PASS
15443,26202,15443,324991,395208,395207,PASS
15467,26219,15467,325217,395512,395511,PASS
15497,26240,15497,325517,395885,395885,PASS
15541,26271,15541,325901,396417,396416,PASS
15569,26291,15569,326159,396759,396758,PASS
15601,26314,15601,326593,397169,397169,PASS
15629,26333,15629,326873,397509,397508,PASS
15647,26347,15647,327071,397773,397773,PASS
15667,26360,15667,327311,398017,398017,PASS
15683,26372,15683,327469,398231,398231,PASS
15733,26407,15733,327869,398832,398832,PASS
15749,26418,15749,328051,399055,399054,PASS
15773,26434,15773,328303,399358,399357,PASS
15797,26452,15797,328591,399697,399697,PASS
15817,26466,15817,328829,399975,399975,PASS
15877,26508,15877,329393,400750,400750,PASS
15889,26516,15889,329557,400936,400936,PASS
15913,26532,15913,329761,401238,401238,PASS
15937,26550,15937,330037,401590,401590,PASS
15973,26574,15973,330331,402039,402038,PASS
16007,26598,16007,330697,402438,402437,PASS
16061,26635,16061,331217,403027,403027,PASS
16069,26641,16069,331319,403175,403174,PASS
16091,26656,16091,331543,403460,403459,PASS
16111,26670,16111,331753,403713,403712,PASS
16141,26690,16141,332011,404084,404084,PASS
16189,26724,16189,332489,404682,404682,PASS
16223,26748,16223,332921,405144,405144,PASS
16249,26765,16249,333161,405450,405449,PASS
16273,26781,16273,333397,405702,405701,PASS
16333,26823,16333,333959,406352,406352,PASS
16361,26841,16361,334247,406656,406655,PASS
16381,26856,16381,334487,406951,406951,PASS
16421,26883,16421,334843,407422,407422,PASS
16447,26901,16447,335089,407746,407746,PASS
16477,26921,16477,335411,408140,408140,PASS
16493,26932,16493,335579,408298,408298,PASS
16547,26969,16547,336121,408955,408954,PASS
16567,26982,16567,336307,409201,409201,PASS
16607,27009,16607,336671,409640,409640,PASS
16633,27027,16633,336901,409994,409993,PASS
16657,27043,16657,337189,410294,410294,PASS
16691,27066,16691,337489,410704,410704,PASS
16703,27074,16703,337633,410859,410859,PASS
16747,27104,16747,338027,411359,411358,PASS
16787,27130,16787,338341,411829,411829,PASS
16829,27159,16829,338761,412333,412333,PASS
16871,27186,16871,339211,412791,412790,PASS
16889,27199,16889,339491,413034,413034,PASS
16921,27220,16921,339799,413395,413395,PASS
16937,27231,16937,340027,413567,413567,PASS
16979,27259,16979,340397,414039,414038,PASS
16993,27268,16993,340577,414228,414227,PASS
17027,27291,17027,340889,414660,414660,PASS
17041,27301,17041,340999,414854,414854,PASS
17077,27324,17077,341323,415284,415284,PASS
17107,27344,17107,341629,415593,415593,PASS
17137,27364,17137,341951,415951,415950,PASS
17183,27395,17183,342343,416446,416445,PASS
17203,27408,17203,342527,416657,416657,PASS
17231,27426,17231,342833,416977,416977,PASS
17291,27466,17291,343381,417626,417625,PASS
17317,27483,17317,343627,417948,417948,PASS
17333,27494,17333,343813,418188,418188,PASS
17359,27510,17359,344083,418475,418475,PASS
17387,27529,17387,344273,418820,418819,PASS
17401,27538,17401,344453,418978,418977,PASS
17431,27558,17431,344801,419383,419383,PASS
17467,27582,17467,345109,419785,419784,PASS
17483,27592,17483,345311,420010,420009,PASS
17497,27601,17497,345517,420171,420170,PASS
17539,27629,17539,345823,420646,420645,PASS
17573,27650,17573,346147,421020,421019,PASS
17597,27667,17597,346393,421357,421357,PASS
17623,27683,17623,346589,421626,421626,PASS
17659,27706,17659,346943,422030,422030,PASS
17683,27722,17683,347173,422311,422311,PASS
17729,27752,17729,347609,422843,422842,PASS
17749,27765,17749,347821,423107,423106,PASS
17789,27791,17789,348191,423545,423544,PASS
17827,27816,17827,348487,423950,423950,PASS
17851,27831,17851,348757,424217,424217,PASS
17891,27857,17891,349133,424639,424639,PASS
17911,27869,17911,349357,424868,424867,PASS
17929,27881,17929,349493,425083,425083,PASS
17959,27900,17959,349813,425381,425380,PASS
17981,27914,17981,349963,425646,425645,PASS
18013,27935,18013,350351,425959,425959,PASS
18047,27957,18047,350699,426335,426335,PASS
18061,27966,18061,350803,426506,426506,PASS
18097,27988,18097,351077,426887,426887,PASS
18127,28008,18127,351361,427263,427262,PASS
18143,28018,18143,351517,427468,427468,PASS
18181,28043,18181,351887,427889,427889,PASS
18211,28061,18211,352181,428226,428226,PASS
18229,28072,18229,352349,428453,428452,PASS
18253,28088,18253,352511,428755,428754,PASS
18287,28109,18287,352841,429098,429098,PASS
18307,28122,18307,353057,429363,429362,PASS
18329,28136,18329,353317,429612,429612,PASS
18367,28160,18367,353653,430064,430063,PASS
18397,28179,18397,353911,430402,430401,PASS
18427,28198,18427,354163,430774,430773,PASS
18443,28208,18443,354317,430983,430983,PASS
18461,28219,18461,354451,431226,431226,PASS
18503,28246,18503,354839,431711,431711,PASS
18523,28258,18523,355009,431928,431927,PASS
18553,28278,18553,355331,432276,432276,PASS
18593,28302,18593,355643,432745,432745,PASS
18661,28345,18661,356287,433532,433531,PASS
18691,28364,18691,356591,433826,433826,PASS
18719,28381,18719,356947,434149,434148,PASS
18749,28399,18749,357211,434521,434521,PASS
18787,28424,18787,357583,435020,435020,PASS
18803,28433,18803,357677,435192,435192,PASS
18869,28474,18869,358277,435844,435843,PASS
18913,28502,18913,358667,436301,436300,PASS
18947,28523,18947,358903,436663,436662,PASS
18979,28542,18979,359153,436988,436988,PASS
19013,28564,19013,359477,437323,437323,PASS
19051,28587,19051,359837,437772,437771,PASS
19079,28604,19079,360187,438097,438097,PASS
19121,28630,19121,360611,438537,438536,PASS
19157,28652,19157,360979,438885,438884,PASS
19183,28668,19183,361271,439173,439173,PASS
19213,28687,19213,361507,439545,439544,PASS
19237,28701,19237,361747,439828,439827,PASS
19267,28719,19267,361979,440136,440136,PASS
19301,28741,19301,362293,440534,440534,PASS
19333,28760,19333,362561,440924,440923,PASS
19381,28789,19381,363019,441435,441434,PASS
